2001-2005 WLD,,,2001-2005 CHN,,,2001-2005 USA,,,2006-2010 WLD,,,2006-2010 CHN,,,2006-2010 USA,,,2011-2015 WLD,,,2011-2015 CHN,,,2011-2015 USA,,
8429,8435,0.762458553,6635,7412,0.637728938,8423,8429,0.701604268,8435,8462,0.735488077,7449,7283,0.711871345,8434,8441,0.70682815,8434,8423,0.751870909,8434,8451,0.725141949,13,3414,0.7
8423,8441,0.760945078,7429,6635,0.637535014,8422,8424,0.701338854,8424,8431,0.733701159,8423,8463,0.711478023,8423,8462,0.705002596,8431,8433,0.750866455,8463,8439,0.723975625,6411,3510,0.7
8441,8423,0.760945078,6635,7429,0.637535014,8424,8422,0.701338854,8431,8424,0.733701159,8463,8423,0.711478023,8462,8423,0.705002596,8433,8431,0.750866455,8439,8463,0.723975625,6411,3414,0.7
8431,8433,0.759485627,8743,7492,0.637410449,8441,8459,0.701317903,8432,8433,0.732460882,8463,8424,0.708155683,3223,913,0.7,8463,8435,0.750261122,8452,8441,0.723439566,3510,3414,0.7
8433,8431,0.759485627,7492,8743,0.637410449,8459,8441,0.701317903,8433,8432,0.732460882,8424,8463,0.708155683,3510,13,0.7,8435,8463,0.750261122,8441,8452,0.723439566,3510,13,0.7
8434,8432,0.759418562,8743,8720,0.636480534,3223,3510,0.7,6289,7849,0.731012263,6623,7919,0.708131868,2512,541,0.7,8441,8463,0.749680851,7436,7492,0.723370851,3414,6411,0.7
8432,8434,0.759418562,8720,8743,0.636480534,541,3414,0.7,7849,6289,0.731012263,7919,6623,0.708131868,13,2512,0.7,8463,8441,0.749680851,7492,7436,0.723370851,3510,6411,0.7
8433,8439,0.758297639,5139,7742,0.635632407,3510,411,0.7,8443,8442,0.730926478,8433,8439,0.706833036,541,3414,0.7,7764,7768,0.749067599,8463,8435,0.722913165,7915,7832,0.7
8439,8433,0.758297639,7742,5139,0.635632407,3414,3223,0.7,8442,8443,0.730926478,8439,8433,0.706833036,3510,411,0.7,7768,7764,0.749067599,8435,8463,0.722913165,3414,13,0.7
8431,8422,0.758226868,7361,7367,0.635244755,3223,13,0.7,8462,8442,0.7302803,7449,7429,0.70620915,3414,2518,0.7,8435,8459,0.748577525,8424,8439,0.72182709,2518,3414,0.7
8422,8431,0.758226868,7367,7361,0.635244755,411,3510,0.7,8442,8462,0.7302803,7429,7449,0.70620915,3223,411,0.7,8459,8435,0.748577525,8439,8424,0.72182709,3414,2518,0.7
8432,8435,0.756031851,8996,7439,0.634927638,13,411,0.7,8441,8434,0.729835508,8435,8459,0.703430994,541,2512,0.7,8462,8452,0.746623602,7436,6785,0.721223058,3414,3510,0.7
8435,8432,0.756031851,7439,8996,0.634927638,3414,541,0.7,8434,8441,0.729835508,8459,8435,0.703430994,541,411,0.7,8452,8462,0.746623602,6785,7436,0.721223058,7832,7915,0.7
8434,8459,0.753024823,6623,5139,0.633861237,3510,3223,0.7,8424,8441,0.729630853,7439,7436,0.701164968,2512,913,0.7,8431,8421,0.74540025,6785,7492,0.721041239,8463,8452,0.69972228
8459,8434,0.753024823,5139,6623,0.633861237,3223,3414,0.7,8441,8424,0.729630853,7436,7439,0.701164968,2518,411,0.7,8421,8431,0.74540025,7492,6785,0.721041239,8452,8463,0.69972228
8435,8431,0.752142847,7272,7439,0.631316527,13,3223,0.7,8441,8423,0.728666851,8431,8462,0.699515784,913,3223,0.7,8451,8452,0.744309474,8423,8424,0.720697013,8439,8462,0.69716865
8431,8435,0.752142847,7439,7272,0.631316527,411,13,0.7,8423,8441,0.728666851,8462,8431,0.699515784,411,3510,0.7,8452,8451,0.744309474,8424,8423,0.720697013,8462,8439,0.69716865
8435,8451,0.751982923,5139,5335,0.631040724,8423,8452,0.699758165,8439,8433,0.725057448,8434,8459,0.698539894,2518,3414,0.7,8423,8459,0.741775241,8459,8424,0.720566802,8452,8441,0.696830804
8451,8435,0.751982923,5335,5139,0.631040724,8452,8423,0.699758165,8433,8439,0.725057448,8459,8434,0.698539894,13,3510,0.7,8459,8423,0.741775241,8424,8459,0.720566802,8441,8452,0.696830804
7723,7788,0.751111111,7492,8720,0.630196704,8452,8463,0.696967564,8423,8462,0.723669468,8423,8435,0.697874763,3414,541,0.7,8433,8439,0.740417285,7758,8743,0.719641026,5829,5839,0.694172494
7788,7723,0.751111111,8720,7492,0.630196704,8463,8452,0.696967564,8462,8423,0.723669468,8435,8423,0.697874763,411,2518,0.7,8439,8433,0.740417285,8743,7758,0.719641026,5839,5829,0.694172494
8441,8463,0.750856939,7449,6623,0.630119048,8435,8439,0.695684231,8459,8434,0.723134166,8424,8462,0.696863751,411,3223,0.7,8442,8443,0.74016092,7493,7492,0.719480519,8424,8421,0.694106741
8463,8441,0.750856939,6623,7449,0.630119048,8439,8435,0.695684231,8434,8459,0.723134166,8462,8424,0.696863751,411,541,0.7,8443,8442,0.74016092,7492,7493,0.719480519,8421,8424,0.694106741
7849,6289,0.750543024,4113,2681,0.63,5137,5983,0.693921569,7599,7525,0.718727106,8451,8441,0.696434542,913,2512,0.7,8451,8435,0.738733997,8452,8462,0.718819777,8424,8431,0.691810542
6289,7849,0.750543024,2681,4113,0.63,5983,5137,0.693921569,7525,7599,0.718727106,8441,8451,0.696434542,2512,13,0.7,8435,8451,0.738733997,8462,8452,0.718819777,8431,8424,0.691810542
8434,8463,0.750189437,8996,7413,0.62968254,8429,8435,0.687967641,8432,8459,0.717871008,8424,8429,0.695856888,4244,4242,0.695238095,8439,8452,0.736955747,8421,8441,0.716777188,8452,8435,0.691530112
8463,8434,0.750189437,7413,8996,0.62968254,8435,8429,0.687967641,8459,8432,0.717871008,8429,8424,0.695856888,4242,4244,0.695238095,8452,8439,0.736955747,8441,8421,0.716777188,8435,8452,0.691530112
8441,8462,0.749627834,7492,7413,0.629576883,5419,5416,0.683549784,7439,7429,0.715873016,8424,8433,0.694520839,8435,8459,0.694529208,8434,8451,0.735404415,8463,8423,0.716086002,8423,8434,0.690902574
8462,8441,0.749627834,7413,7492,0.629576883,5416,5419,0.683549784,7429,7439,0.715873016,8433,8424,0.694520839,8459,8435,0.694529208,8451,8434,0.735404415,8423,8463,0.716086002,8434,8423,0.690902574
8434,8441,0.749319728,7416,8996,0.629163595,5123,5148,0.683295136,8432,8435,0.712777778,7449,7413,0.693333333,8452,8424,0.689155909,7783,7139,0.732670807,8434,8463,0.715889166,8441,8459,0.689902471
8441,8434,0.749319728,8996,7416,0.629163595,5148,5123,0.683295136,8435,8432,0.712777778,7413,7449,0.693333333,8424,8452,0.689155909,7139,7783,0.732670807,8463,8434,0.715889166,8459,8441,0.689902471
8442,8435,0.748972414,5335,7413,0.627460317,7449,7442,0.682930622,5334,5542,0.712321713,8462,8439,0.692169879,8462,8441,0.688748455,8424,8463,0.727357619,7449,7422,0.715277778,8452,8423,0.689577573
8435,8442,0.748972414,7413,5335,0.627460317,7442,7449,0.682930622,5542,5334,0.712321713,8439,8462,0.692169879,8441,8462,0.688748455,8463,8424,0.727357619,7422,7449,0.715277778,8423,8452,0.689577573
7764,7763,0.747878788,7428,8743,0.626088452,8424,8434,0.679792961,8435,8423,0.712055591,7721,7492,0.689754941,8429,8452,0.688376954,8439,8429,0.726788437,8431,8421,0.714806509,116,111,0.689285714
7763,7764,0.747878788,8743,7428,0.626088452,8434,8424,0.679792961,8423,8435,0.712055591,7492,7721,0.689754941,8452,8429,0.688376954,8429,8439,0.726788437,8421,8431,0.714806509,111,116,0.689285714
2815,2816,0.746382784,6727,6744,0.625822021,8748,8744,0.679411765,7849,7139,0.710701754,8441,8452,0.689150908,8424,8434,0.687881514,8463,8452,0.726145498,8435,8424,0.713940256,8439,8429,0.688434248
2816,2815,0.746382784,6744,6727,0.625822021,8744,8748,0.679411765,7139,7849,0.710701754,8452,8441,0.689150908,8434,8424,0.687881514,8452,8463,0.726145498,8424,8435,0.713940256,8429,8439,0.688434248
8433,8421,0.746018323,7439,7413,0.625723623,8463,8429,0.675631802,7783,7849,0.709179371,7413,7429,0.687990196,8423,8463,0.686090808,8432,8433,0.724880763,8421,8429,0.7130104,8442,8443,0.688041796
8421,8433,0.746018323,7413,7439,0.625723623,8429,8463,0.675631802,7849,7783,0.709179371,7429,7413,0.687990196,8463,8423,0.686090808,8433,8432,0.724880763,8429,8421,0.7130104,8443,8442,0.688041796
8439,8431,0.74515035,5334,5825,0.624725275,8423,8434,0.67491527,8459,8433,0.708163406,7162,6289,0.687869565,8452,8439,0.683203463,8433,8441,0.724554005,722,723,0.712222222,8463,8441,0.687411674
8431,8439,0.74515035,5825,5334,0.624725275,8434,8423,0.67491527,8433,8459,0.708163406,6289,7162,0.687869565,8439,8452,0.683203463,8441,8433,0.724554005,723,722,0.712222222,8441,8463,0.687411674
8432,8452,0.744196918,8744,8745,0.623727645,8462,8463,0.674775447,5334,5335,0.707338936,8463,8429,0.687478277,8435,8431,0.680981241,8462,8434,0.724533215,7492,8743,0.711400932,5824,5825,0.687185243
8452,8432,0.744196918,8745,8744,0.623727645,8463,8462,0.674775447,5335,5334,0.707338936,8429,8463,0.687478277,8431,8435,0.680981241,8434,8462,0.724533215,8743,7492,0.711400932,5825,5824,0.687185243
8429,8451,0.743837129,7449,8745,0.623718487,8433,8432,0.674624226,8510,6123,0.707014548,6289,7721,0.686427442,8431,8452,0.679209745,7373,7369,0.723426213,8749,8743,0.711114367,8441,8434,0.686563853
8451,8429,0.743837129,8745,7449,0.623718487,8432,8433,0.674624226,6123,8510,0.707014548,7721,6289,0.686427442,8452,8431,0.679209745,7369,7373,0.723426213,8743,8749,0.711114367,8434,8441,0.686563853
8435,8421,0.742913864,6551,6573,0.623333333,8422,8431,0.672820706,8422,8424,0.703129818,6623,7369,0.684652015,8452,8435,0.676697995,7599,7764,0.721794872,8431,8459,0.709642375,8451,8429,0.684679273
8421,8435,0.742913864,7264,7244,0.623333333,8431,8422,0.672820706,8424,8422,0.703129818,7369,6623,0.684652015,8435,8452,0.676697995,7764,7599,0.721794872,8459,8431,0.709642375,8429,8451,0.684679273
8424,8422,0.741631681,6573,6551,0.623333333,7281,7361,0.671904762,8451,8434,0.702870257,8463,8431,0.683918129,7442,7449,0.676363636,6421,8931,0.721407837,7422,7429,0.709570495,411,913,0.683333333
8422,8424,0.741631681,7244,7264,0.623333333,7361,7281,0.671904762,8434,8451,0.702870257,8431,8463,0.683918129,7449,7442,0.676363636,8931,6421,0.721407837,7429,7422,0.709570495,913,411,0.683333333
8429,8434,0.74113082,7252,7449,0.621309524,7284,8742,0.671633987,8996,5415,0.702097902,8452,8434,0.68372669,5824,5825,0.675833333,8422,8421,0.721394622,7492,7429,0.709163059,8441,8462,0.682426042
8434,8429,0.74113082,7449,7252,0.621309524,8742,7284,0.671633987,5415,8996,0.702097902,8434,8452,0.68372669,5825,5824,0.675833333,8421,8422,0.721394622,7429,7492,0.709163059,8462,8441,0.682426042
8434,8465,0.740890828,7436,7413,0.620959079,8439,8424,0.670806195,7763,7764,0.7,6744,6745,0.682568543,5139,5148,0.674093567,8452,8424,0.719898918,8429,8439,0.708251273,2816,2516,0.68
8465,8434,0.740890828,7413,7436,0.620959079,8424,8439,0.670806195,7764,7763,0.7,6745,6744,0.682568543,5148,5139,0.674093567,8424,8452,0.719898918,8439,8429,0.708251273,2516,2816,0.68
8439,8465,0.740871089,5162,5989,0.620927318,7429,7188,0.669047619,8434,8423,0.699810694,7731,7721,0.682213439,8459,8434,0.674085616,8422,8463,0.719490651,8452,8424,0.70823455,8452,8424,0.677556022
8465,8439,0.740871089,5989,5162,0.620927318,7188,7429,0.669047619,8423,8434,0.699810694,7721,7731,0.682213439,8434,8459,0.674085616,8463,8422,0.719490651,8424,8452,0.70823455,8424,8452,0.677556022
8429,8431,0.739998619,7442,7413,0.619879411,8429,8452,0.667644447,6635,8121,0.699769231,7452,7422,0.681503759,8433,8435,0.67297619,8452,8441,0.718958189,8439,8421,0.707406493,8424,8434,0.677139356
8431,8429,0.739998619,7413,7442,0.619879411,8452,8429,0.667644447,8121,6635,0.699769231,7422,7452,0.681503759,8435,8433,0.67297619,8441,8452,0.718958189,8421,8439,0.707406493,8434,8424,0.677139356
8462,8435,0.739549981,8743,7429,0.619263792,6343,3223,0.666666667,8422,8432,0.698982968,7599,7764,0.680606061,8423,8434,0.672261653,8996,5416,0.715750916,8743,7721,0.70667366,8429,8423,0.674485407
8435,8462,0.739549981,7429,8743,0.619263792,3223,6343,0.666666667,8432,8422,0.698982968,7764,7599,0.680606061,8434,8423,0.672261653,5416,8996,0.715750916,7721,8743,0.70667366,8423,8429,0.674485407
8463,8435,0.739279542,7259,7252,0.618904429,3510,6343,0.666666667,8423,8451,0.698560963,8720,5416,0.68,8744,8748,0.670457182,8452,8432,0.714255679,8433,8451,0.706479673,6631,7368,0.673333333
8435,8463,0.739279542,7252,7259,0.618904429,6343,3414,0.666666667,8451,8423,0.698560963,5416,8720,0.68,8748,8744,0.670457182,8432,8452,0.714255679,8451,8433,0.706479673,7368,6631,0.673333333
8463,8433,0.73874486,6551,6574,0.618888889,3414,6343,0.666666667,8462,8424,0.697662658,8435,8451,0.679945946,8422,8424,0.670199286,8422,8459,0.712807018,8433,8463,0.705116713,8429,8462,0.671036079
8433,8463,0.73874486,6574,6551,0.618888889,6343,13,0.666666667,8424,8462,0.697662658,8451,8435,0.679945946,8424,8422,0.670199286,8459,8422,0.712807018,8463,8433,0.705116713,8462,8429,0.671036079
8434,8462,0.738228725,7373,7269,0.618787879,6343,3510,0.666666667,8424,8459,0.697424563,8452,8451,0.679480519,8421,8424,0.668413243,8439,8431,0.712733393,7492,5417,0.703818638,8452,8429,0.670593318
8462,8434,0.738228725,7269,7373,0.618787879,7821,7832,0.666666667,8459,8424,0.697424563,8451,8452,0.679480519,8424,8421,0.668413243,8431,8439,0.712733393,5417,7492,0.703818638,8429,8452,0.670593318
7764,7599,0.735384615,5914,7252,0.618531469,7832,7821,0.666666667,2874,2875,0.697169312,7416,7413,0.678998968,5311,5312,0.668315018,7368,7373,0.712663399,8743,7442,0.702609687,8435,8431,0.67012987
7599,7764,0.735384615,7252,5914,0.618531469,13,6343,0.666666667,2875,2874,0.697169312,7413,7416,0.678998968,5312,5311,0.668315018,7373,7368,0.712663399,7442,8743,0.702609687,8431,8435,0.67012987
8441,8424,0.735282858,571,572,0.618333333,5824,5825,0.666047188,484,1110,0.696231884,7188,7442,0.678095238,8463,8452,0.667057955,8434,8459,0.71254623,8462,8441,0.702232855,8434,8463,0.668759019
8424,8441,0.735282858,572,571,0.618333333,5825,5824,0.666047188,1110,484,0.696231884,7442,7188,0.678095238,8452,8463,0.667057955,8459,8434,0.71254623,8441,8462,0.702232855,8463,8434,0.668759019
7849,6991,0.734885621,5335,5824,0.618205128,8435,8421,0.664560484,8451,8463,0.694756598,7422,7429,0.67752838,6611,913,0.666666667,8463,8434,0.712067483,8423,8435,0.701801802,8462,8435,0.667601541
6991,7849,0.734885621,5824,5335,0.618205128,8421,8435,0.664560484,8463,8451,0.694756598,7429,7422,0.67752838,13,6611,0.666666667,8434,8463,0.712067483,8435,8423,0.701801802,8435,8462,0.667601541
8451,8423,0.734806967,7413,8743,0.618179881,8422,8421,0.663607479,8441,8432,0.694382379,7492,6998,0.677219114,13,6343,0.666666667,8439,8422,0.711396761,8462,8434,0.701512605,7361,6631,0.6675
8423,8451,0.734806967,8743,7413,0.618179881,8421,8422,0.663607479,8432,8441,0.694382379,6998,7492,0.677219114,6611,541,0.666666667,8422,8439,0.711396761,8434,8462,0.701512605,6631,7361,0.6675
6210,6289,0.731987578,5827,5836,0.617619048,5335,5825,0.663461538,8421,8435,0.693779432,7452,8745,0.674613003,6343,411,0.666666667,7722,7764,0.710839161,8434,8423,0.70088576,3223,13,0.666666667
6289,6210,0.731987578,5836,5827,0.617619048,5825,5335,0.663461538,8435,8421,0.693779432,8745,7452,0.674613003,2518,6611,0.666666667,7764,7722,0.710839161,8423,8434,0.70088576,3414,913,0.666666667
8465,8435,0.731341328,8742,7452,0.615793651,8434,8421,0.663419328,7369,7373,0.691876751,8463,8435,0.672762989,6611,2518,0.666666667,8431,8435,0.710715979,8452,8423,0.700847907,3223,3510,0.666666667
8435,8465,0.731341328,7452,8742,0.615793651,8421,8434,0.663419328,7373,7369,0.691876751,8435,8463,0.672762989,411,6343,0.666666667,8435,8431,0.710715979,8423,8452,0.700847907,3510,913,0.666666667
8463,8465,0.729914093,5989,8996,0.61576736,7284,7369,0.661622807,8434,8462,0.691621346,8429,8439,0.672742127,913,6611,0.666666667,8424,8435,0.708900135,914,4312,0.7,13,3223,0.666666667
8465,8463,0.729914093,8996,5989,0.61576736,7369,7284,0.661622807,8462,8434,0.691621346,8439,8429,0.672742127,6611,3414,0.666666667,8435,8424,0.708900135,4312,914,0.7,3510,3223,0.666666667
8433,8459,0.728680851,7361,7369,0.614708625,8435,8431,0.660053834,8432,8451,0.691520468,8463,8452,0.672640425,6343,13,0.666666667,8423,8429,0.70841603,7721,7758,0.699128205,913,3414,0.666666667
8459,8433,0.728680851,7369,7361,0.614708625,8431,8435,0.660053834,8451,8432,0.691520468,8452,8463,0.672640425,6343,3510,0.666666667,8429,8423,0.70841603,7758,7721,0.699128205,913,3510,0.666666667
8452,8442,0.726675439,6571,6611,0.613888889,8435,8452,0.659681614,8452,8463,0.691308535,8749,7721,0.670692641,6611,13,0.666666667,6210,6289,0.707461538,8424,8421,0.698008535,8422,8424,0.665710784
8442,8452,0.726675439,6611,6571,0.613888889,8452,8435,0.659681614,8463,8452,0.691308535,7721,8749,0.670692641,3414,6611,0.666666667,6289,6210,0.707461538,8421,8424,0.698008535,8424,8422,0.665710784
6672,2771,0.724987469,5335,7431,0.613818681,8424,8431,0.657570738,8429,8451,0.69122807,7492,7416,0.670687747,3510,6343,0.666666667,6997,7868,0.706567149,7369,6994,0.697857143,8429,8463,0.664006598
2771,6672,0.724987469,7431,5335,0.613818681,8431,8424,0.657570738,8451,8429,0.69122807,7416,7492,0.670687747,541,6611,0.666666667,7868,6997,0.706567149,6994,7369,0.697857143,8463,8429,0.664006598
8434,8422,0.724670543,7452,7412,0.613553114,5148,7246,0.654201681,8463,8421,0.691119409,7493,7169,0.670175439,6782,7491,0.665294978,8434,8432,0.705594197,7422,7452,0.697404664,5335,5825,0.663402993
8422,8434,0.724670543,7412,7452,0.613553114,7246,5148,0.654201681,8421,8463,0.691119409,7169,7493,0.670175439,7491,6782,0.665294978,8432,8434,0.705594197,7452,7422,0.697404664,5825,5335,0.663402993
8441,8433,0.724061521,7452,8743,0.613190537,8439,8463,0.653277481,8442,8459,0.690669727,6535,6538,0.67,8452,8462,0.660680751,6289,7849,0.705002725,8451,8441,0.695440435,7442,7449,0.662555995
8433,8441,0.724061521,8743,7452,0.613190537,8463,8439,0.653277481,8459,8442,0.690669727,6538,6535,0.67,8462,8452,0.660680751,7849,6289,0.705002725,8441,8451,0.695440435,7449,7442,0.662555995
8472,8465,0.723751452,6649,7761,0.613113553,5989,7442,0.652813283,342,360,0.690297101,8996,7451,0.669957246,8431,8433,0.659468954,7868,8121,0.70462963,5825,5334,0.694172494,8433,8452,0.660685484
8465,8472,0.723751452,7761,6649,0.613113553,7442,5989,0.652813283,360,342,0.690297101,7451,8996,0.669957246,8433,8431,0.659468954,8121,7868,0.70462963,5334,5825,0.694172494,8452,8433,0.660685484
8452,8423,0.723394806,7435,7283,0.613076923,7269,5417,0.652170868,8431,8439,0.6893874,8423,8451,0.669407548,7452,7213,0.657864637,8821,5827,0.704444444,8459,8435,0.694116059,8459,8429,0.659534163
8423,8452,0.723394806,7283,7435,0.613076923,5417,7269,0.652170868,8439,8431,0.6893874,8451,8423,0.669407548,7213,7452,0.657864637,5827,8821,0.704444444,8435,8459,0.694116059,8429,8459,0.659534163
8443,8442,0.723371515,7428,7436,0.612595908,8744,8742,0.651911765,8422,8421,0.689256069,8434,8463,0.669384921,2681,2682,0.657142857,8424,8433,0.704086952,8433,8441,0.693805704,8424,8435,0.658862045
8442,8443,0.723371515,7436,7428,0.612595908,8742,8744,0.651911765,8421,8422,0.689256069,8463,8434,0.669384921,2682,2681,0.657142857,8433,8424,0.704086952,8441,8433,0.693805704,8435,8424,0.658862045
8424,8421,0.721893548,8996,7272,0.611904762,8463,8434,0.651880607,8432,8434,0.689094247,7451,7369,0.669033613,7245,7246,0.65375817,8422,8462,0.702280702,7361,7369,0.69228022,8421,8434,0.658556068
8421,8424,0.721893548,7272,8996,0.611904762,8434,8463,0.651880607,8434,8432,0.689094247,7369,7451,0.669033613,7246,7245,0.65375817,8462,8422,0.702280702,7369,7361,0.69228022,8434,8421,0.658556068
8431,8424,0.721615274,8743,8744,0.611280599,8421,8433,0.650886769,8441,8442,0.688609275,7721,7162,0.668971014,8463,8435,0.652406792,8822,5827,0.702222222,7439,7416,0.691419458,7493,7429,0.654619034
8424,8431,0.721615274,8744,8743,0.611280599,8433,8421,0.650886769,8442,8441,0.688609275,7162,7721,0.668971014,8435,8463,0.652406792,5827,8822,0.702222222,7416,7439,0.691419458,7429,7493,0.654619034
5123,5162,0.720743034,6623,7413,0.610634921,8744,7439,0.650128205,8422,8431,0.687583329,8463,8451,0.667554671,7821,7832,0.65,8421,8433,0.70188868,7442,6997,0.691108557,5154,5148,0.652394221
5162,5123,0.720743034,7413,6623,0.610634921,7439,8744,0.650128205,8431,8422,0.687583329,8451,8463,0.667554671,7832,7821,0.65,8433,8421,0.70188868,6997,7442,0.691108557,5148,5154,0.652394221
